anchor_id,ticker,contract_type,strike,expiration,dte_target,moneyness_target,partition,event_family,decision_available_utc,signal_bar_open_utc,coverage_before,coverage_at,coverage_after,left_censored,signal_bar_exists,bar_count,selection_policy,moneyness_band,moneyness_distance_pct,moneyness_pct,dte,outcome_status,right_censored,observed_bars,decision_close,next_bar_open,decision_to_next_open_gap_pct,mfe_pct,mae_pct,terminal_return_pct,bars_to_peak,bars_to_trough,peak_to_terminal_giveback_pct,gain_retention,decision_close_mfe_pct,decision_close_mae_pct,peak_before_trough
AMC15X-001,O:AMC240906C00005000,CALL,5.0,2024-09-06,14,0.0,DISCOVERY,CONTINUATION,2024-08-23T15:30:00+00:00,2024-08-23T15:15:00+00:00,108,1,248,False,True,357,WITHIN_TOLERANCE,NEAR_ATM,0.4579999999999984,0.4579999999999984,14,SCORED_RIGHT_CENSORED,True,248,0.22,0.21,-4.545454545454552,76.19047619047619,-95.23809523809523,-95.23809523809523,20,225,-97.2972972972973,-1.2499999999999998,68.18181818181819,-95.45454545454545,True
AMC15X-001,O:AMC240920C00005000,CALL,5.0,2024-09-20,30,0.0,DISCOVERY,CONTINUATION,2024-08-23T15:30:00+00:00,2024-08-23T15:15:00+00:00,132,1,504,False,True,637,WITHIN_TOLERANCE,NEAR_ATM,0.4579999999999984,0.4579999999999984,28,SCORED_RIGHT_CENSORED,True,504,0.31,0.32,3.2258064516129004,53.125,-96.875,-96.875,19,469,-97.95918367346938,-1.8235294117647058,58.06451612903225,-96.7741935483871,True
AMC15X-001,O:AMC240906P00005000,PUT,5.0,2024-09-06,14,0.0,DISCOVERY,CONTINUATION,2024-08-23T15:30:00+00:00,2024-08-23T15:15:00+00:00,69,0,232,False,False,301,WITHIN_TOLERANCE,NEAR_ATM,0.4579999999999984,-0.4579999999999984,14,UNSCORED_SIGNAL_BAR_ABSENT,,0,,,,,,,,,,,,,
AMC15X-001,O:AMC240920P00005000,PUT,5.0,2024-09-20,30,0.0,DISCOVERY,CONTINUATION,2024-08-23T15:30:00+00:00,2024-08-23T15:15:00+00:00,78,0,406,False,False,484,WITHIN_TOLERANCE,NEAR_ATM,0.4579999999999984,-0.4579999999999984,28,UNSCORED_SIGNAL_BAR_ABSENT,,0,,,,,,,,,,,,,
AMC15X-002,O:AMC240906C00005000,CALL,5.0,2024-09-06,14,0.0,DISCOVERY,RISK_OR_EXHAUSTION,2024-08-26T14:00:00+00:00,2024-08-26T13:45:00+00:00,128,1,228,False,True,357,WITHIN_TOLERANCE,NEAR_ATM,3.401999999999994,3.401999999999994,11,SCORED_RIGHT_CENSORED,True,228,0.33,0.32,-3.0303030303030276,12.5,-96.875,-96.875,1,205,-97.22222222222221,-7.75,9.090909090909083,-96.96969696969697,True
AMC15X-002,O:AMC240927C00005000,CALL,5.0,2024-09-27,30,0.0,DISCOVERY,RISK_OR_EXHAUSTION,2024-08-26T14:00:00+00:00,2024-08-26T13:45:00+00:00,66,1,556,False,True,623,WITHIN_TOLERANCE,NEAR_ATM,3.401999999999994,3.401999999999994,32,SCORED_COMPLETE_HORIZON,False,546,0.48,0.51,6.25,0.0,-98.0392156862745,-98.0392156862745,1,531,-98.0392156862745,,6.25,-97.91666666666666,True
AMC15X-002,O:AMC240906P00005000,PUT,5.0,2024-09-06,14,0.0,DISCOVERY,RISK_OR_EXHAUSTION,2024-08-26T14:00:00+00:00,2024-08-26T13:45:00+00:00,85,1,215,False,True,301,WITHIN_TOLERANCE,NEAR_ATM,3.401999999999994,-3.401999999999994,11,SCORED_RIGHT_CENSORED,True,215,0.12,0.14,16.666666666666675,199.99999999999994,-64.28571428571428,-64.28571428571428,145,215,-88.09523809523809,-0.32142857142857145,250.0,-58.33333333333333,True
AMC15X-002,O:AMC240927P00005000,PUT,5.0,2024-09-27,30,0.0,DISCOVERY,RISK_OR_EXHAUSTION,2024-08-26T14:00:00+00:00,2024-08-26T13:45:00+00:00,44,1,388,False,True,433,WITHIN_TOLERANCE,NEAR_ATM,3.401999999999994,-3.401999999999994,32,SCORED_RIGHT_CENSORED,True,388,0.29,0.28,-3.44827586206895,135.71428571428572,-17.85714285714286,82.14285714285714,337,184,-22.72727272727273,0.6052631578947367,127.58620689655173,-20.68965517241378,False
AMC15X-003,O:AMC240913C00005000,CALL,5.0,2024-09-13,14,0.0,DISCOVERY,ENTRY_FORMING,2024-08-30T18:15:00+00:00,2024-08-30T18:00:00+00:00,116,1,241,False,True,358,WITHIN_TOLERANCE,NEAR_ATM,2.2000000000000064,-2.2000000000000064,14,SCORED_RIGHT_CENSORED,True,241,0.22,0.21,-4.545454545454552,28.57142857142858,-95.23809523809523,-95.23809523809523,101,225,-96.2962962962963,-3.3333333333333317,22.72727272727273,-95.45454545454545,True
AMC15X-003,O:AMC240927C00005000,CALL,5.0,2024-09-27,30,0.0,DISCOVERY,ENTRY_FORMING,2024-08-30T18:15:00+00:00,2024-08-30T18:00:00+00:00,147,1,475,False,True,623,WITHIN_TOLERANCE,NEAR_ATM,2.2000000000000064,-2.2000000000000064,28,SCORED_RIGHT_CENSORED,True,475,0.33,0.32,-3.0303030303030276,31.25,-96.875,-96.875,101,450,-97.61904761904762,-3.1,27.27272727272727,-96.96969696969697,True
